,"Deck, Trial",color,number,C,DI-1,DR-1,DI-2,DR-2,DI-3,DR-3,EI-1,ER-1,EC-1
107,"black, 78",black,78,0,0,0,0,0,0,0,1,1,0.5
108,"red, 79",red,79,0,0,0,0,0,1,0,0,0,0.0
109,"white, 79",white,79,1,1,0,1,0,0,0,1,0,-1.0
110,"black, 79",black,79,0,0,0,0,0,0,0,0,0,-0.6
111,"red, 85",red,85,0,1,0,1,1,1,0,0,0,0.06666666666666667
112,"white, 85",white,85,1,0,0,0,0,0,0,0,0,0.3333333333333333
113,"black, 85",black,85,0,0,0,0,0,0,0,1,1,0.3333333333333333
114,"red, 92",red,92,0,0,0,1,0,0,0,1,0,-0.3333333333333333
115,"white, 92",white,92,1,1,0,0,0,1,0,0,0,0.4666666666666667
116,"black, 92",black,92,0,0,0,0,0,0,0,0,0,0.1111111111111111
117,"red, 93",red,93,0,0,0,0,0,1,0,0,0,-0.3333333333333333
118,"white, 93",white,93,1,1,0,1,0,0,0,1,1,-0.5384615384615384
119,"black, 93",black,93,0,0,0,0,0,0,0,0,0,0.6666666666666666
120,"red, 98",red,98,1,0,0,0,0,0,0,0,0,-0.3333333333333333
121,"white, 98",white,98,0,0,0,0,0,1,0,1,1,-0.5384615384615384
122,"black, 98",black,98,0,1,1,1,0,0,0,0,0,0.6666666666666666
123,"red, 99",red,99,1,1,0,0,0,0,0,0,0,-0.3333333333333333
124,"white, 99",white,99,0,0,0,0,0,0,0,1,0,0.4666666666666667
125,"black, 99",black,99,0,0,0,1,1,1,0,0,0,0.1111111111111111
126,"red, 100",red,100,1,1,0,1,0,0,0,0,0,0.0
127,"white, 100",white,100,0,0,0,0,0,0,0,1,1,-1.0
128,"black, 100",black,100,0,0,0,0,0,1,1,0,0,-0.6
129,"red, 105",red,105,0,0,0,0,0,1,0,0,0,0.0
130,"white, 105",white,105,1,1,1,1,0,0,0,0,0,0.0
131,"black, 105",black,105,0,0,0,0,0,0,0,0,0,0.0
132,"red, 106",red,106,0,0,0,0,0,0,0,0,0,-0.5
133,"white, 106",white,106,1,1,1,1,1,1,0,0,0,0.0
134,"black, 106",black,106,0,0,0,0,0,0,0,1,1,0.5
135,"red, 108",red,108,0,0,0,0,0,0,0,1,0,-0.7142857142857143
136,"white, 108",white,108,1,1,0,1,1,1,1,0,0,-0.2727272727272727
137,"black, 108",black,108,0,0,0,0,0,0,0,0,0,-0.2727272727272727
138,"red, 109",red,109,0,0,0,0,0,0,0,0,0,-0.3333333333333333
139,"white, 109",white,109,1,1,1,1,0,1,1,1,0,-0.5384615384615384
140,"black, 109",black,109,0,0,0,0,0,0,0,0,0,0.6666666666666666
141,"red, 110",red,110,0,0,0,0,0,0,0,0,0,0.0
142,"white, 110",white,110,1,1,0,1,1,1,0,1,1,-1.0
143,"black, 110",black,110,0,0,0,0,0,0,0,0,0,-0.6
144,"red, 113",red,113,0,0,0,0,0,0,0,1,0,0.06666666666666667
145,"white, 113",white,113,1,1,1,1,0,1,1,0,0,0.3333333333333333
146,"black, 113",black,113,0,0,0,0,0,0,0,0,0,0.3333333333333333
147,"red, 114",red,114,0,0,0,0,0,0,0,1,0,0.06666666666666667
148,"white, 114",white,114,1,1,0,1,1,1,0,0,0,0.3333333333333333
149,"black, 114",black,114,0,0,0,0,0,0,0,0,0,0.3333333333333333
150,"red, 115",red,115,0,0,0,0,0,0,0,0,0,0.0
151,"white, 115",white,115,1,1,0,1,0,1,1,0,0,0.0
152,"black, 115",black,115,0,0,0,0,0,0,0,0,0,0.0
153,"red, 116",red,116,0,0,0,0,0,0,0,0,0,-0.3333333333333333
154,"white, 116",white,116,1,1,1,1,0,1,0,1,0,-0.5384615384615384
155,"black, 116",black,116,0,0,0,0,0,0,0,0,0,0.6666666666666666
156,"red, 120",red,120,0,0,0,0,0,1,0,1,0,0.0
157,"white, 120",white,120,1,0,0,0,0,0,0,0,0,-1.0
158,"black, 120",black,120,0,1,0,1,0,0,0,0,0,-0.6
159,"red, 124",red,124,0,0,0,0,0,0,0,0,0,0.0
160,"white, 124",white,124,1,1,1,1,1,1,1,1,1,-1.0
161,"black, 124",black,124,0,0,0,0,0,0,0,0,0,-0.6
162,"red, 125",red,125,0,0,0,0,0,0,0,0,0,0.0
163,"white, 125",white,125,1,1,1,1,1,1,1,0,0,-1.0
164,"black, 125",black,125,0,0,0,0,0,0,0,1,0,-0.6
165,"red, 126",red,126,0,0,0,0,0,0,0,0,0,-0.5
166,"white, 126",white,126,1,1,1,1,1,1,1,1,0,0.0
167,"black, 126",black,126,0,0,0,0,0,0,0,0,0,0.5
168,"red, 127",red,127,1,0,0,0,0,0,0,0,0,0.06666666666666667
169,"white, 127",white,127,0,1,0,1,1,1,1,0,0,0.3333333333333333
170,"black, 127",black,127,0,0,0,0,0,0,0,1,1,0.3333333333333333
171,"red, 128",red,128,0,1,0,0,0,0,0,1,0,-0.5
172,"white, 128",white,128,1,0,0,1,0,1,1,0,0,0.0
173,"black, 128",black,128,0,0,0,0,0,0,0,0,0,0.5
174,"red, 130",red,130,0,0,0,0,0,1,0,0,0,0.0
175,"white, 130",white,130,1,1,0,1,1,0,0,0,0,0.0
176,"black, 130",black,130,0,0,0,0,0,0,0,0,0,0.0
