"Deck, Trial",color,number,C,DI-1,DR-1,DI-2,DR-2,DI-3,DR-3,EI-1,ER-1,EC-1
"black, 28",black,28,1,0,0,0,0,0,0,0,0,0.0
"red, 29",red,29,1,0,0,1,0,1,1,0,0,0.0
"white, 29",white,29,0,0,0,0,0,0,0,0,0,0.0
"black, 29",black,29,0,1,1,0,0,0,0,0,0,0.0
"red, 30",red,30,1,1,1,0,0,1,0,0,0,0.0
"white, 30",white,30,0,0,0,0,0,0,0,0,0,0.0
"black, 30",black,30,0,0,0,1,1,0,0,0,0,0.0
"red, 31",red,31,0,1,1,1,1,0,0,0,0,0.0
"white, 31",white,31,1,0,0,0,0,0,0,0,0,0.0
"black, 31",black,31,0,0,0,0,0,1,1,0,0,0.0
"red, 32",red,32,1,0,0,1,1,1,1,0,0,0.0
"white, 32",white,32,0,1,0,0,0,0,0,0,0,0.0
"black, 32",black,32,0,0,0,0,0,0,0,0,0,0.0
"red, 33",red,33,0,1,0,0,0,1,1,0,0,0.0
"white, 33",white,33,0,0,0,1,0,0,0,0,0,0.0
"black, 33",black,33,1,0,0,0,0,0,0,0,0,0.0
"red, 34",red,34,1,0,0,1,0,0,0,1,0,0.0
"white, 34",white,34,0,0,0,0,0,1,0,0,0,-1.0
"black, 34",black,34,0,1,0,0,0,0,0,0,0,-0.6
"red, 35",red,35,1,1,1,0,0,1,0,0,0,0.0
"white, 35",white,35,0,0,0,0,0,0,0,0,0,0.0
"black, 35",black,35,0,0,0,1,0,0,0,0,0,0.0
"red, 36",red,36,0,1,1,1,1,0,0,0,0,-0.3333333333333333
"white, 36",white,36,1,0,0,0,0,0,0,1,1,0.4666666666666667
"black, 36",black,36,0,0,0,0,0,1,0,0,0,0.1111111111111111
"red, 37",red,37,0,0,0,1,1,1,1,0,0,0.0
"white, 37",white,37,1,1,0,0,0,0,0,0,0,0.0
"black, 37",black,37,0,0,0,0,0,0,0,0,0,0.0
"red, 38",red,38,1,0,0,0,0,1,1,0,0,0.0
"white, 38",white,38,0,1,1,1,0,0,0,0,0,0.0
"black, 38",black,38,0,0,0,0,0,0,0,0,0,0.0
"red, 39",red,39,1,1,0,0,0,0,0,0,0,0.0
"white, 39",white,39,0,0,0,1,1,1,0,0,0,0.0
"black, 39",black,39,0,0,0,0,0,0,0,0,0,0.0
